nombre,pais,api_id,api_source
Lucius Apuleius Madaurensis,the Roman,Apuleius,wikipedia
Avex Trax,,Avex Trax,wikipedia
John Orloff. The,,John Orloff,wikipedia
Rupert Lowe,March,Rupert Lowe,wikipedia
Laura Hillenbrand,American,Laura Hillenbrand,wikipedia
Humble Games,established developers,Humble Bundle,wikipedia
Text Publishing,,Text Publishing,wikipedia
Charles Duhigg,,Charles Duhigg,wikipedia
Aaron Sorkin.,New York,Aaron Sorkin,wikipedia
Jessica Knoll,,Jessica Knoll,wikipedia
Jiang Zemin,Yangzhou,Jiang Zemin,wikipedia
Cassandra Clare,American,Cassandra Clare,wikipedia
Robert Aldrich,his directorial,Robert Aldrich,wikipedia
Kim Fupz Aakeson,,Kim Fupz Aakeson,wikipedia
Jessica Postigo. The,New York,The Mortal Instruments: City of Bones,wikipedia
Cassandra Clare. The,American,Cassandra Clare,wikipedia
Lo Wei,,Lo Wei,wikipedia
Lawrence D. Cohen,,Lawrence D. Cohen,wikipedia
Corgi Books,,Transworld (publisher),wikipedia
Terry Jones,Oxford University,Terry Jones,wikipedia
Rainbow Rowell. Published,American,Rainbow Rowell,wikipedia
Ken Liu,American,Ken Liu,wikipedia
Ofek Leumi Financial Instruments,,Bank Leumi,wikipedia
Hayley Williams,,Hayley Williams,wikipedia
Mao Zedong,the PRC,Mao Zedong,wikipedia
Rachel Joyce,,Rachel Joyce,wikipedia
Tim LaHaye,Detroit,Tim LaHaye,wikipedia
Don Piper,,90 Minutes in Heaven,wikipedia
Gavin Hood,,Gavin Hood,wikipedia
M. Karunanidhi,Thirukkuvalai in,M. Karunanidhi,wikipedia
A. J. Jacobs,,A. J. Jacobs,wikipedia
Francis Ford Coppola. It,,Francis Ford Coppola,wikipedia
Fox Searchlight Pictures,,Searchlight Pictures,wikipedia
Chuck Palahniuk,American,Chuck Palahniuk,wikipedia
Knopf Canada,,Random House of Canada,wikipedia
Stephen Chbosky,,Stephen Chbosky,wikipedia
